threshold,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,gc_tot,pc_tot,ov_tot,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,gate_model,gate_threshold,token_threshold
0.44,0.3707,0.0972,0.154,0.3585,0.1039,0.1612,62074.0,17997.0,6452.0,0.5957,0.2971,0.3965,1474.0,2502.0,13691.0,69040.0,0.1749,0.0459,112,265,76,803,RAW,,0.44
0.45,0.3794,0.0801,0.1322,0.3706,0.0864,0.1402,62074.0,14475.0,5365.0,0.6074,0.2626,0.3667,1214.0,1986.0,13951.0,69556.0,0.1749,0.0369,99,278,64,815,RAW,,0.45
0.46,0.3841,0.0657,0.1122,0.3738,0.0705,0.1186,62074.0,11704.0,4375.0,0.6377,0.2334,0.3417,996.0,1597.0,14169.0,69945.0,0.1749,0.0299,88,289,50,829,RAW,,0.46
0.47,0.3924,0.0527,0.0929,0.3808,0.0571,0.0993,62074.0,9303.0,3543.0,0.6667,0.2122,0.3219,799.0,1237.0,14366.0,70305.0,0.1749,0.0235,80,297,40,839,RAW,,0.47
0.48,0.398,0.0419,0.0759,0.3853,0.0455,0.0814,62074.0,7332.0,2825.0,0.6733,0.1804,0.2845,636.0,962.0,14529.0,70580.0,0.1749,0.0184,68,309,33,846,RAW,,0.48
0.49,0.4041,0.0325,0.0602,0.3917,0.0349,0.0641,62074.0,5532.0,2167.0,0.7195,0.1565,0.2571,493.0,727.0,14672.0,70815.0,0.1749,0.0141,59,318,23,856,RAW,,0.49
0.5,0.4297,0.0254,0.0479,0.412,0.0265,0.0498,62074.0,3993.0,1645.0,0.7206,0.13,0.2202,385.0,511.0,14780.0,71031.0,0.1749,0.0103,49,328,19,860,RAW,,0.5
0.51,0.4507,0.0196,0.0375,0.4311,0.0208,0.0397,62074.0,2992.0,1290.0,0.7455,0.1088,0.1898,297.0,362.0,14868.0,71180.0,0.1749,0.0076,41,336,14,865,RAW,,0.51
0.52,0.4658,0.0148,0.0288,0.4362,0.0153,0.0296,62074.0,2180.0,951.0,0.775,0.0822,0.1487,225.0,258.0,14940.0,71284.0,0.1749,0.0056,31,346,9,870,RAW,,0.52
0.53,0.48,0.0103,0.0201,0.4233,0.0101,0.0196,62074.0,1474.0,624.0,0.7647,0.069,0.1265,156.0,169.0,15009.0,71373.0,0.1749,0.0037,26,351,8,871,RAW,,0.53
0.54,0.5283,0.0074,0.0146,0.4513,0.0069,0.0135,62074.0,944.0,426.0,0.8,0.0531,0.0995,112.0,100.0,15053.0,71442.0,0.1749,0.0024,20,357,5,874,RAW,,0.54
0.55,0.5909,0.0051,0.0102,0.5193,0.0046,0.009,62074.0,545.0,283.0,0.8,0.0424,0.0806,78.0,54.0,15087.0,71488.0,0.1749,0.0015,16,361,4,875,RAW,,0.55
0.56,0.642,0.0034,0.0068,0.5331,0.0026,0.0052,62074.0,302.0,161.0,0.7857,0.0292,0.0563,52.0,29.0,15113.0,71513.0,0.1749,0.0009,11,366,3,876,RAW,,0.56
0.57,0.6727,0.0024,0.0049,0.5926,0.0018,0.0036,62074.0,189.0,112.0,0.7,0.0186,0.0362,37.0,18.0,15128.0,71524.0,0.1749,0.0006,7,370,3,876,RAW,,0.57
0.58,0.8235,0.0018,0.0037,0.8384,0.0013,0.0027,62074.0,99.0,83.0,1.0,0.0186,0.0365,28.0,6.0,15137.0,71536.0,0.1749,0.0004,7,370,0,879,RAW,,0.58
0.59,0.9091,0.0013,0.0026,0.9516,0.001,0.0019,62074.0,62.0,59.0,1.0,0.0133,0.0262,20.0,2.0,15145.0,71540.0,0.1749,0.0003,5,372,0,879,RAW,,0.59
0.6,0.9167,0.0007,0.0014,0.9286,0.0004,0.0008,62074.0,28.0,26.0,1.0,0.0106,0.021,11.0,1.0,15154.0,71541.0,0.1749,0.0001,4,373,0,879,RAW,,0.6
0.61,1.0,0.0005,0.0009,1.0,0.0002,0.0004,62074.0,13.0,13.0,1.0,0.0053,0.0106,7.0,0.0,15158.0,71542.0,0.1749,0.0001,2,375,0,879,RAW,,0.61
