threshold,token_precision,token_recall,token_f1,token_auroc,token_pr_auc,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,n_pred_spans,avg_pred_span_len
0.2,0.2627655786350148,0.7299043850972634,0.38641996858090416,0.6994703827400888,0.2996233296882518,0.26553447488851695,0.73096626606953,0.38955664686287306,0.40551181102362205,0.8196286472148541,0.5425812115891132,11069,31056,4096,40486,0.1748993737529842,0.48583159375828944,3160,54.08
0.21,0.2649700967241761,0.7099241674909331,0.38590579969890315,0.6994703827400888,0.2996233296882518,0.2674846848372329,0.7125527596094984,0.3889585064612436,0.40829986613119146,0.8090185676392573,0.5427046263345195,10766,29865,4399,41677,0.1748993737529842,0.46860115100280253,3316,49.87
0.22,0.2671147113689214,0.6892845367622815,0.3850233894434417,0.6994703827400888,0.2996233296882518,0.26935381879879544,0.6930760060572865,0.3879403238096097,0.4076607387140903,0.7904509283819628,0.5379061371841155,10453,28680,4712,42862,0.1748993737529842,0.45132457587046027,3487,45.81
0.23,0.26917437551651513,0.6658094296076492,0.38336244209886855,0.6994703827400888,0.2996233296882518,0.2711972550832395,0.6710377936011857,0.3862807012663041,0.4086471408647141,0.7771883289124668,0.5356489945155393,10097,27414,5068,44128,0.1748993737529842,0.43261789705560105,3583,42.87
0.24,0.27213599821348816,0.6428618529508737,0.38239620310263,0.6994703827400888,0.2996233296882518,0.2742054944382912,0.6500950478461192,0.38571790423482966,0.40746054519368724,0.753315649867374,0.5288640595903166,9749,26075,5416,45467,0.1748993737529842,0.41316156711684177,3701,39.76
0.25,0.2748441726449488,0.6164193867457962,0.38017772535941596,0.6994703827400888,0.2996233296882518,0.27702779757662155,0.6261397686632084,0.3841106070937967,0.41323529411764703,0.7453580901856764,0.5316934720908231,9348,24664,5817,46878,0.1748993737529842,0.39226360040135166,3848,36.46
0.26,0.27800881385388865,0.5907022749752721,0.37807837592588683,0.6994703827400888,0.2996233296882518,0.27968248733247386,0.6011051325836905,0.3817460073867182,0.41679160419790107,0.7374005305039788,0.5325670498084292,8958,23264,6207,48278,0.1748993737529842,0.3716193617585662,3952,33.76
0.27,0.28112224713174205,0.5622815694032312,0.3748379014000923,0.6994703827400888,0.2996233296882518,0.2823590896853175,0.574443406257048,0.3786154172860481,0.4228395061728395,0.726790450928382,0.5346341463414634,8527,21805,6638,49737,0.1748993737529842,0.3498218136943961,4050,31.18
0.28,0.28461619458776455,0.5347181008902078,0.37149532710280375,0.6994703827400888,0.2996233296882518,0.2856915058789959,0.5483938524986307,0.37567249913092415,0.4274322169059011,0.7108753315649867,0.5338645418326693,8109,20382,7056,51160,0.1748993737529842,0.32858938724670445,4087,29.15
0.29,0.28905839032088376,0.5072865150016486,0.3682711410038536,0.6994703827400888,0.2996233296882518,0.29003659005716637,0.5222798595225054,0.37295876401327566,0.4316309719934102,0.6949602122015915,0.532520325203252,7693,18921,7472,52621,0.1748993737529842,0.30694176940731427,4122,27.12
0.3,0.2923763179237632,0.47543686119353773,0.3620841180163214,0.6994703827400888,0.2996233296882518,0.2930860713565813,0.49189676837323193,0.3673152687137229,0.4366438356164384,0.6763925729442971,0.5306971904266389,7210,17450,7955,54092,0.1748993737529842,0.28440610331345795,4121,25.28
0.31,0.29732103645147123,0.44642268381140787,0.3569263213391327,0.6994703827400888,0.2996233296882518,0.2975790007555919,0.46315687727550986,0.362348522563285,0.44064748201438847,0.649867374005305,0.5251875669882101,6770,16000,8395,55542,0.1748993737529842,0.26260855524928783,4069,23.74
0.32,0.3011771461383865,0.41503461918892187,0.3490558189834456,0.6994703827400888,0.2996233296882518,0.30121494698616935,0.43295099397493314,0.35526385363790186,0.44701348747591524,0.6153846153846154,0.5178571428571429,6294,14604,8871,56938,0.1748993737529842,0.24101860288096694,4000,22.31
0.33,0.3049945201189917,0.3853610286844708,0.34049991260269186,0.6994703827400888,0.2996233296882518,0.304219871093275,0.403002867545188,0.3467124958421111,0.4573170731707317,0.596816976127321,0.5178365937859609,5844,13317,9321,58225,0.1748993737529842,0.22098561823151533,3883,21.18
0.34,0.3091076356945722,0.35450049455984173,0.33025155880455814,0.6994703827400888,0.2996233296882518,0.3078396679482233,0.3727808744401843,0.337212098249091,0.45751633986928103,0.5570291777188329,0.5023923444976076,5376,12016,9789,59526,0.1748993737529842,0.20058357456722065,3801,19.78
0.35,0.3154082809896167,0.3244971974942301,0.3198881918939123,0.6994703827400888,0.2996233296882518,0.3142693106037186,0.34391210490704643,0.3284231902340715,0.4742990654205608,0.5384615384615384,0.5043478260869565,4921,10681,10244,60861,0.1748993737529842,0.17993933592443517,3632,18.7
0.36,0.319164162015171,0.29409825255522587,0.3061189471155496,0.6994703827400888,0.2996233296882518,0.31637016484413255,0.312272449012469,0.314307951744714,0.47890818858560796,0.5119363395225465,0.4948717948717949,4460,9514,10705,62028,0.1748993737529842,0.16116345854429284,3538,17.32
0.37,0.32624342903356246,0.2660072535443455,0.2930621140573919,0.6994703827400888,0.2996233296882518,0.32426939134256205,0.2852885265972871,0.30353255746190627,0.4973544973544973,0.4986737400530504,0.49801324503311256,4034,8331,11131,63211,0.1748993737529842,0.14260670995421362,3331,16.4
0.38,0.3334250596220877,0.2396966699637323,0.2788966893006483,0.6994703827400888,0.2996233296882518,0.33210941045422665,0.2593678512742855,0.2912656487444822,0.5043988269794721,0.4562334217506631,0.479108635097493,3635,7267,11530,64275,0.1748993737529842,0.12573379311935598,3180,15.24
0.39,0.3426514188903007,0.213386086383119,0.2629932138648462,0.6994703827400888,0.2996233296882518,0.3389383683648023,0.2299030189773496,0.2739707618617956,0.5173501577287066,0.4350132625994695,0.47262247838616717,3236,6208,11929,65334,0.1748993737529842,0.1089185417555676,2939,14.33
0.4,0.35234316885693034,0.18740520936366634,0.24467306616159443,0.6994703827400888,0.2996233296882518,0.3478428882939082,0.20301575538872957,0.2563909544978281,0.5390070921985816,0.40318302387267907,0.4613050075872534,2842,5224,12323,66318,0.1748993737529842,0.09302593792888694,2686,13.49
0.41,0.35822196397443345,0.1626112759643917,0.22368361376933193,0.6994703827400888,0.2996233296882518,0.35114161108260644,0.17640235847536812,0.23483240043749598,0.5517241379310345,0.3819628647214854,0.45141065830721006,2466,4418,12699,67124,0.1748993737529842,0.07939382056812022,2429,12.84
0.42,0.36459935076029387,0.14071876030333003,0.20306404034636977,0.6994703827400888,0.2996233296882518,0.35626294970804295,0.15235042046589553,0.21343052844198193,0.574468085106383,0.35809018567639256,0.4411764705882353,2134,3719,13031,67823,0.1748993737529842,0.06750320043364434,2194,12.1
