gate_threshold,TP,FP,FN,TN,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,token_threshold,gate_model
0.35,9031,23013,6134,48529,0.2818,0.5955,0.3826,0.5198,0.2683,0.3539,0.4738,0.6472,0.5471,0.1749,0.3696,244,133,271,608,0.25,LR
0.35,7152,17091,8013,54451,0.295,0.4716,0.363,0.5505,0.2149,0.3092,0.4712,0.6074,0.5307,0.1749,0.2796,229,148,257,622,0.3,LR
0.35,4919,10662,10246,60880,0.3157,0.3244,0.32,0.6085,0.1527,0.2441,0.4855,0.5332,0.5082,0.1749,0.1797,201,176,213,666,0.35,LR
0.35,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.4,12815,41091,2350,30451,0.2377,0.845,0.3711,0.465,0.4037,0.4322,0.4638,0.7639,0.5772,0.1749,0.6217,288,89,333,546,0.05,LR
0.4,11895,34039,3270,37503,0.259,0.7844,0.3894,0.4916,0.3637,0.4181,0.4635,0.7586,0.5755,0.1749,0.5298,286,91,331,548,0.1,LR
0.4,11023,29971,4142,41571,0.2689,0.7269,0.3926,0.5043,0.333,0.4011,0.4823,0.7215,0.5781,0.1749,0.4728,272,105,292,587,0.15,LR
0.4,10191,26475,4974,45067,0.2779,0.672,0.3932,0.5133,0.3032,0.3812,0.4933,0.679,0.5714,0.1749,0.4229,256,121,263,616,0.2,LR
0.4,8870,22283,6295,49259,0.2847,0.5849,0.383,0.5267,0.2643,0.3519,0.4957,0.6154,0.5491,0.1749,0.3593,232,145,236,643,0.25,LR
0.4,7099,16774,8066,54768,0.2974,0.4681,0.3637,0.5554,0.2135,0.3085,0.4921,0.5782,0.5317,0.1749,0.2753,218,159,225,654,0.3,LR
0.4,4913,10619,10252,60923,0.3163,0.324,0.3201,0.6096,0.1525,0.244,0.4962,0.5172,0.5065,0.1749,0.1791,195,182,198,681,0.35,LR
0.4,2842,5223,12323,66319,0.3524,0.1874,0.2447,0.7023,0.0912,0.1615,0.5409,0.4032,0.462,0.1749,0.093,152,225,129,750,0.4,LR
0.45,12354,38628,2811,32914,0.2423,0.8146,0.3735,0.4764,0.3912,0.4296,0.4889,0.7003,0.5758,0.1749,0.588,264,113,276,603,0.05,LR
0.45,11504,32084,3661,39458,0.2639,0.7586,0.3916,0.5025,0.3528,0.4146,0.4888,0.695,0.5739,0.1749,0.5027,262,115,274,605,0.1,LR
0.45,10662,28155,4503,43387,0.2747,0.7031,0.395,0.5169,0.3232,0.3977,0.501,0.6658,0.5718,0.1749,0.4477,251,126,250,629,0.15,LR
0.45,9893,24846,5272,46696,0.2848,0.6524,0.3965,0.5278,0.2953,0.3787,0.5153,0.626,0.5653,0.1749,0.4006,236,141,222,657,0.2,LR
0.45,8662,21041,6503,50501,0.2916,0.5712,0.3861,0.5405,0.2586,0.3498,0.5196,0.5623,0.5401,0.1749,0.3426,212,165,196,683,0.25,LR
0.45,6982,16134,8183,55408,0.302,0.4604,0.3648,0.5647,0.2102,0.3064,0.5167,0.5332,0.5248,0.1749,0.2666,201,176,188,691,0.3,LR
0.45,4880,10473,10285,61069,0.3179,0.3218,0.3198,0.6135,0.1517,0.2433,0.52,0.4828,0.5007,0.1749,0.1771,182,195,168,711,0.35,LR
0.45,2840,5214,12325,66328,0.3526,0.1873,0.2446,0.703,0.0912,0.1614,0.5474,0.3979,0.4608,0.1749,0.0929,150,227,124,755,0.4,LR
0.5,11957,35983,3208,35559,0.2494,0.7885,0.379,0.4928,0.3805,0.4294,0.5278,0.6552,0.5846,0.1749,0.5529,247,130,221,658,0.05,LR
0.5,11183,30303,3982,41239,0.2696,0.7374,0.3948,0.5177,0.346,0.4148,0.5278,0.6552,0.5846,0.1749,0.4785,247,130,221,658,0.1,LR
0.5,10367,26719,4798,44823,0.2795,0.6836,0.3968,0.5308,0.3171,0.397,0.5359,0.634,0.5808,0.1749,0.4277,239,138,207,672,0.15,LR
0.5,9619,23639,5546,47903,0.2892,0.6343,0.3973,0.541,0.2898,0.3775,0.5459,0.5995,0.5714,0.1749,0.3836,226,151,188,691,0.2,LR
0.5,8466,20105,6699,51437,0.2963,0.5583,0.3871,0.5535,0.2547,0.3489,0.5486,0.5385,0.5435,0.1749,0.3295,203,174,167,712,0.25,LR
0.5,6879,15559,8286,55983,0.3066,0.4536,0.3659,0.5757,0.2081,0.3057,0.5439,0.5093,0.526,0.1749,0.2588,192,185,161,718,0.3,LR
0.5,4848,10248,10317,61294,0.3211,0.3197,0.3204,0.6211,0.151,0.243,0.5503,0.4642,0.5036,0.1749,0.1741,175,202,143,736,0.35,LR
0.5,2838,5191,12327,66351,0.3535,0.1871,0.2447,0.7047,0.0911,0.1614,0.567,0.3926,0.4639,0.1749,0.0926,148,229,113,766,0.4,LR
0.55,11258,32613,3907,38929,0.2566,0.7424,0.3814,0.5069,0.3582,0.4198,0.5599,0.5703,0.565,0.1749,0.506,215,162,169,710,0.05,LR
0.55,10592,27614,4573,43928,0.2772,0.6985,0.3969,0.5327,0.3278,0.4058,0.5599,0.5703,0.565,0.1749,0.4406,215,162,169,710,0.1,LR
0.55,9812,24411,5353,47131,0.2867,0.647,0.3973,0.5463,0.3011,0.3883,0.5645,0.557,0.5607,0.1749,0.3947,210,167,162,717,0.15,LR
0.55,9093,21600,6072,49942,0.2963,0.5996,0.3966,0.5573,0.2755,0.3687,0.5764,0.5305,0.5525,0.1749,0.354,200,177,147,732,0.2,LR
0.55,8028,18406,7137,53136,0.3037,0.5294,0.386,0.5705,0.2429,0.3407,0.5801,0.4801,0.5254,0.1749,0.3049,181,196,131,748,0.25,LR
0.55,6559,14420,8606,57122,0.3126,0.4325,0.3629,0.5897,0.1993,0.2979,0.5758,0.4536,0.5074,0.1749,0.242,171,206,126,753,0.3,LR
0.55,4699,9705,10466,61837,0.3262,0.3099,0.3178,0.6342,0.1471,0.2389,0.5805,0.4111,0.4814,0.1749,0.1661,155,222,112,767,0.35,LR
0.55,2811,5068,12354,66474,0.3568,0.1854,0.244,0.712,0.0904,0.1604,0.6,0.3501,0.4422,0.1749,0.0909,132,245,88,791,0.4,LR
0.6,10757,29615,4408,41927,0.2664,0.7093,0.3874,0.5255,0.3417,0.4141,0.589,0.5093,0.5462,0.1749,0.4656,192,185,134,745,0.05,LR
0.6,10171,25398,4994,46144,0.286,0.6707,0.401,0.5495,0.3148,0.4003,0.589,0.5093,0.5462,0.1749,0.4102,192,185,134,745,0.1,LR
0.6,9439,22569,5726,48973,0.2949,0.6224,0.4002,0.5638,0.2907,0.3836,0.5906,0.5013,0.5423,0.1749,0.3692,189,188,131,748,0.15,LR
0.6,8748,19993,6417,51549,0.3044,0.5769,0.3985,0.5747,0.266,0.3637,0.598,0.4854,0.5359,0.1749,0.3315,183,194,123,756,0.2,LR
0.6,7729,17132,7436,54410,0.3109,0.5097,0.3862,0.5872,0.2351,0.3358,0.6065,0.4456,0.5138,0.1749,0.2867,168,209,109,770,0.25,LR
0.6,6324,13572,8841,57970,0.3179,0.417,0.3607,0.6054,0.194,0.2939,0.6031,0.4191,0.4945,0.1749,0.2295,158,219,104,775,0.3,LR
0.6,4562,9302,10603,62240,0.3291,0.3008,0.3143,0.6461,0.1443,0.2359,0.6085,0.3793,0.4673,0.1749,0.1599,143,234,92,787,0.35,LR
0.6,2759,4978,12406,66564,0.3566,0.1819,0.2409,0.7163,0.0893,0.1587,0.6193,0.3236,0.4251,0.1749,0.0892,122,255,75,804,0.4,LR
0.65,10177,26185,4988,45357,0.2799,0.6711,0.395,0.5516,0.3231,0.4075,0.6394,0.4562,0.5325,0.1749,0.4194,172,205,97,782,0.05,LR
0.65,9624,22814,5541,48728,0.2967,0.6346,0.4043,0.5722,0.2989,0.3927,0.6394,0.4562,0.5325,0.1749,0.3741,172,205,97,782,0.1,LR
0.65,8959,20406,6206,51136,0.3051,0.5908,0.4024,0.5872,0.2777,0.3771,0.6367,0.4509,0.528,0.1749,0.3387,170,207,97,782,0.15,LR
0.65,8318,18144,6847,53398,0.3143,0.5485,0.3996,0.5993,0.2554,0.3582,0.6406,0.435,0.5182,0.1749,0.3052,164,213,92,787,0.2,LR
0.65,7379,15596,7786,55946,0.3212,0.4866,0.3869,0.613,0.2268,0.3312,0.6483,0.4058,0.4992,0.1749,0.265,153,224,83,796,0.25,LR
0.65,6107,12474,9058,59068,0.3287,0.4027,0.3619,0.6316,0.189,0.2909,0.6476,0.3899,0.4868,0.1749,0.2143,147,230,80,799,0.3,LR
